Source,CH1
Second,Volt
-0.02920400000,6.40000,
-0.02920000000,6.40000,
-0.02919600000,6.40000,
-0.02919200000,6.40000,
-0.02918800000,6.40000,
-0.02918400000,6.00000,
-0.02918000000,6.00000,
-0.02917600000,6.00000,
-0.02917200000,6.00000,
-0.02916800000,6.00000,
-0.02916400000,6.00000,
-0.02916000000,6.00000,
-0.02915600000,6.00000,
-0.02915200000,6.00000,
-0.02914800000,6.00000,
-0.02914400000,6.00000,
-0.02914000000,6.00000,
-0.02913600000,6.00000,
-0.02913200000,6.00000,
-0.02912800000,6.00000,
-0.02912400000,6.00000,
-0.02912000000,6.00000,
-0.02911600000,6.00000,
-0.02911200000,6.00000,
-0.02910800000,6.00000,
-0.02910400000,6.00000,
-0.02910000000,6.00000,
-0.02909600000,6.00000,
-0.02909200000,6.00000,
-0.02908800000,6.00000,
-0.02908400000,6.00000,
-0.02908000000,5.60000,
-0.02907600000,6.00000,
-0.02907200000,5.60000,
-0.02906800000,5.60000,
-0.02906400000,5.60000,
-0.02906000000,5.60000,
-0.02905600000,5.20000,
-0.02905200000,6.00000,
-0.02904800000,5.60000,
-0.02904400000,5.20000,
-0.02904000000,5.20000,
-0.02903600000,5.60000,
-0.02903200000,5.20000,
-0.02902800000,5.20000,
-0.02902400000,5.20000,
-0.02902000000,5.20000,
-0.02901600000,5.20000,
-0.02901200000,5.20000,
-0.02900800000,5.20000,
-0.02900400000,5.20000,
-0.02900000000,5.20000,
-0.02899600000,5.20000,
-0.02899200000,5.20000,
-0.02898800000,5.20000,
-0.02898400000,5.20000,
-0.02898000000,5.20000,
-0.02897600000,5.20000,
-0.02897200000,5.20000,
-0.02896800000,5.20000,
-0.02896400000,4.80000,
-0.02896000000,5.20000,
-0.02895600000,4.80000,
-0.02895200000,5.20000,
-0.02894800000,5.20000,
-0.02894400000,5.20000,
-0.02894000000,5.20000,
-0.02893600000,4.80000,
-0.02893200000,4.80000,
-0.02892800000,4.80000,
-0.02892400000,4.80000,
-0.02892000000,4.80000,
-0.02891600000,4.40000,
-0.02891200000,4.80000,
-0.02890800000,4.40000,
-0.02890400000,4.40000,
-0.02890000000,4.80000,
-0.02889600000,4.40000,
-0.02889200000,4.40000,
-0.02888800000,4.40000,
-0.02888400000,4.40000,
-0.02888000000,4.40000,
-0.02887600000,4.40000,
-0.02887200000,4.40000,
-0.02886800000,4.40000,
-0.02886400000,4.40000,
-0.02886000000,4.00000,
-0.02885600000,4.40000,
-0.02885200000,4.40000,
-0.02884800000,4.40000,
-0.02884400000,4.00000,
-0.02884000000,4.00000,
-0.02883600000,4.00000,
-0.02883200000,4.00000,
-0.02882800000,4.40000,
-0.02882400000,3.60000,
-0.02882000000,4.00000,
-0.02881600000,3.60000,
-0.02881200000,4.00000,
-0.02880800000,4.40000,
-0.02880400000,4.00000,
-0.02880000000,4.00000,
-0.02879600000,3.60000,
-0.02879200000,4.00000,
-0.02878800000,3.60000,
-0.02878400000,3.60000,
-0.02878000000,3.60000,
-0.02877600000,3.60000,
-0.02877200000,3.60000,
-0.02876800000,3.60000,
-0.02876400000,3.60000,
-0.02876000000,3.60000,
-0.02875600000,3.60000,
-0.02875200000,3.60000,
-0.02874800000,3.60000,
-0.02874400000,3.60000,
-0.02874000000,3.20000,
-0.02873600000,3.20000,
-0.02873200000,3.20000,
-0.02872800000,3.20000,
-0.02872400000,3.20000,
-0.02872000000,3.20000,
-0.02871600000,3.20000,
-0.02871200000,2.80000,
-0.02870800000,2.80000,
-0.02870400000,2.80000,
-0.02870000000,3.20000,
-0.02869600000,2.80000,
-0.02869200000,2.80000,
-0.02868800000,2.80000,
-0.02868400000,3.20000,
-0.02868000000,2.80000,
-0.02867600000,2.80000,
-0.02867200000,2.80000,
-0.02866800000,2.80000,
-0.02866400000,2.80000,
-0.02866000000,2.80000,
-0.02865600000,2.80000,
-0.02865200000,2.80000,
-0.02864800000,2.80000,
-0.02864400000,2.80000,
-0.02864000000,2.80000,
-0.02863600000,2.80000,
-0.02863200000,2.80000,
-0.02862800000,2.80000,
-0.02862400000,2.00000,
-0.02862000000,2.00000,
-0.02861600000,2.40000,
-0.02861200000,2.40000,
-0.02860800000,2.40000,
-0.02860400000,2.40000,
-0.02860000000,2.40000,
-0.02859600000,2.00000,
-0.02859200000,2.00000,
-0.02858800000,2.00000,
-0.02858400000,2.00000,
-0.02858000000,2.00000,
-0.02857600000,2.00000,
-0.02857200000,2.00000,
-0.02856800000,2.00000,
-0.02856400000,2.00000,
-0.02856000000,2.00000,
-0.02855600000,2.00000,
-0.02855200000,2.00000,
-0.02854800000,2.00000,
-0.02854400000,2.00000,
-0.02854000000,1.60000,
-0.02853600000,2.00000,
-0.02853200000,1.60000,
-0.02852800000,2.00000,
-0.02852400000,2.00000,
-0.02852000000,2.00000,
-0.02851600000,1.60000,
-0.02851200000,2.00000,
-0.02850800000,2.00000,
-0.02850400000,1.60000,
-0.02850000000,1.60000,
-0.02849600000,1.60000,
-0.02849200000,1.60000,
-0.02848800000,1.60000,
-0.02848400000,1.60000,
-0.02848000000,1.20000,
-0.02847600000,1.60000,
-0.02847200000,1.20000,
-0.02846800000,1.20000,
-0.02846400000,1.20000,
-0.02846000000,1.20000,
-0.02845600000,1.20000,
-0.02845200000,1.20000,
-0.02844800000,1.20000,
-0.02844400000,1.20000,
-0.02844000000,1.20000,
-0.02843600000,1.20000,
-0.02843200000,1.20000,
-0.02842800000,0.80000,
-0.02842400000,0.80000,
-0.02842000000,0.80000,
-0.02841600000,0.80000,
-0.02841200000,0.80000,
-0.02840800000,0.80000,
-0.02840400000,0.80000,
-0.02840000000,0.80000,
-0.02839600000,0.80000,
-0.02839200000,0.80000,
-0.02838800000,0.80000,
-0.02838400000,0.80000,
-0.02838000000,0.80000,
-0.02837600000,0.80000,
-0.02837200000,0.80000,
-0.02836800000,0.40000,
-0.02836400000,0.40000,
-0.02836000000,0.40000,
-0.02835600000,0.80000,
-0.02835200000,0.80000,
-0.02834800000,0.40000,
-0.02834400000,0.40000,
-0.02834000000,0.40000,
-0.02833600000,0.40000,
-0.02833200000,0.40000,
-0.02832800000,0.40000,
-0.02832400000,0.40000,
-0.02832000000,0.40000,
-0.02831600000,0.40000,
-0.02831200000,0.40000,
-0.02830800000,0.40000,
-0.02830400000,0.00,
-0.02830000000,0.00,
-0.02829600000,0.40000,
-0.02829200000,0.00,
-0.02828800000,0.40000,
-0.02828400000,-0.40000,
-0.02828000000,0.00,
-0.02827600000,-0.40000,
-0.02827200000,0.00,
-0.02826800000,-0.40000,
-0.02826400000,-0.40000,
-0.02826000000,-0.40000,
-0.02825600000,-0.40000,
-0.02825200000,-0.40000,
-0.02824800000,-0.40000,
-0.02824400000,-0.40000,
-0.02824000000,-0.40000,
-0.02823600000,-0.40000,
-0.02823200000,-0.40000,
-0.02822800000,-0.40000,
-0.02822400000,-0.80000,
-0.02822000000,-0.40000,
-0.02821600000,-0.80000,
-0.02821200000,-0.80000,
-0.02820800000,-0.80000,
-0.02820400000,-0.40000,
-0.02820000000,-0.80000,
-0.02819600000,-0.80000,
-0.02819200000,-1.20000,
-0.02818800000,-1.20000,
-0.02818400000,-0.80000,
-0.02818000000,-0.80000,
-0.02817600000,-0.80000,
-0.02817200000,-1.20000,
-0.02816800000,-1.20000,
-0.02816400000,-1.20000,
-0.02816000000,-1.20000,
-0.02815600000,-1.20000,
-0.02815200000,-0.80000,
-0.02814800000,-1.20000,
-0.02814400000,-1.20000,
-0.02814000000,-1.20000,
-0.02813600000,-1.20000,
-0.02813200000,-1.20000,
-0.02812800000,-1.20000,
-0.02812400000,-1.20000,
-0.02812000000,-1.20000,
-0.02811600000,-1.20000,
-0.02811200000,-1.20000,
-0.02810800000,-1.20000,
-0.02810400000,-1.20000,
-0.02810000000,-1.20000,
-0.02809600000,-1.20000,
-0.02809200000,-1.20000,
-0.02808800000,-1.60000,
-0.02808400000,-1.60000,
-0.02808000000,-1.20000,
-0.02807600000,-1.60000,
-0.02807200000,-1.60000,
-0.02806800000,-1.60000,
-0.02806400000,-1.60000,
-0.02806000000,-1.60000,
-0.02805600000,-1.60000,
-0.02805200000,-2.00000,
-0.02804800000,-2.00000,
-0.02804400000,-2.00000,
-0.02804000000,-2.00000,
-0.02803600000,-2.00000,
-0.02803200000,-2.00000,
-0.02802800000,-2.00000,
-0.02802400000,-2.00000,
-0.02802000000,-2.00000,
-0.02801600000,-2.00000,
-0.02801200000,-2.00000,
-0.02800800000,-2.00000,
-0.02800400000,-2.00000,
-0.02800000000,-2.00000,
-0.02799600000,-2.40000,
-0.02799200000,-2.40000,
-0.02798800000,-2.40000,
-0.02798400000,-2.40000,
-0.02798000000,-2.40000,
-0.02797600000,-2.40000,
-0.02797200000,-2.40000,
-0.02796800000,-2.40000,
-0.02796400000,-2.40000,
-0.02796000000,-2.40000,
-0.02795600000,-2.40000,
-0.02795200000,-2.80000,
-0.02794800000,-2.40000,
-0.02794400000,-2.80000,
-0.02794000000,-2.40000,
-0.02793600000,-2.80000,
-0.02793200000,-2.80000,
-0.02792800000,-2.80000,
-0.02792400000,-2.80000,
-0.02792000000,-2.80000,
-0.02791600000,-2.80000,
-0.02791200000,-2.80000,
-0.02790800000,-2.80000,
-0.02790400000,-3.20000,
-0.02790000000,-3.20000,
-0.02789600000,-2.80000,
-0.02789200000,-3.20000,
-0.02788800000,-3.20000,
-0.02788400000,-3.20000,
-0.02788000000,-3.20000,
-0.02787600000,-3.60000,
-0.02787200000,-3.60000,
-0.02786800000,-3.20000,
-0.02786400000,-3.20000,
-0.02786000000,-3.60000,
-0.02785600000,-3.60000,
-0.02785200000,-3.60000,
-0.02784800000,-3.60000,
-0.02784400000,-3.60000,
-0.02784000000,-3.60000,
-0.02783600000,-3.60000,
-0.02783200000,-3.60000,
-0.02782800000,-3.60000,
-0.02782400000,-3.60000,
-0.02782000000,-3.60000,
-0.02781600000,-3.60000,
-0.02781200000,-3.60000,
-0.02780800000,-3.60000,
-0.02780400000,-3.60000,
-0.02780000000,-3.60000,
-0.02779600000,-3.60000,
-0.02779200000,-3.60000,
-0.02778800000,-3.60000,
-0.02778400000,-3.60000,
-0.02778000000,-4.00000,
-0.02777600000,-4.00000,
-0.02777200000,-4.00000,
-0.02776800000,-3.60000,
-0.02776400000,-3.60000,
-0.02776000000,-4.00000,
-0.02775600000,-4.00000,
-0.02775200000,-4.00000,
-0.02774800000,-4.00000,
-0.02774400000,-4.00000,
-0.02774000000,-4.00000,
-0.02773600000,-4.00000,
-0.02773200000,-4.00000,
-0.02772800000,-4.00000,
-0.02772400000,-4.00000,
-0.02772000000,-4.00000,
-0.02771600000,-4.00000,
-0.02771200000,-4.00000,
-0.02770800000,-4.00000,
-0.02770400000,-4.00000,
-0.02770000000,-4.00000,
-0.02769600000,-4.00000,
-0.02769200000,-4.40000,
-0.02768800000,-4.00000,
-0.02768400000,-4.00000,
-0.02768000000,-4.40000,
-0.02767600000,-4.40000,
-0.02767200000,-4.40000,
-0.02766800000,-4.40000,
-0.02766400000,-4.40000,
-0.02766000000,-4.40000,
-0.02765600000,-4.40000,
-0.02765200000,-4.80000,
-0.02764800000,-4.80000,
-0.02764400000,-4.80000,
-0.02764000000,-4.80000,
-0.02763600000,-4.80000,
-0.02763200000,-4.80000,
-0.02762800000,-4.80000,
-0.02762400000,-4.80000,
-0.02762000000,-4.80000,
-0.02761600000,-4.80000,
-0.02761200000,-4.80000,
-0.02760800000,-4.80000,
-0.02760400000,-4.80000,
-0.02760000000,-4.80000,
-0.02759600000,-5.20000,
-0.02759200000,-4.80000,
-0.02758800000,-4.80000,
-0.02758400000,-4.80000,
-0.02758000000,-5.60000,
-0.02757600000,-5.20000,
-0.02757200000,-5.20000,
-0.02756800000,-5.20000,
-0.02756400000,-5.20000,
-0.02756000000,-5.20000,
-0.02755600000,-5.20000,
-0.02755200000,-5.20000,
-0.02754800000,-5.60000,
-0.02754400000,-5.60000,
-0.02754000000,-5.60000,
-0.02753600000,-5.60000,
-0.02753200000,-5.60000,
-0.02752800000,-5.60000,
-0.02752400000,-5.60000,
-0.02752000000,-5.60000,
-0.02751600000,-5.60000,
-0.02751200000,-5.60000,
-0.02750800000,-5.60000,
-0.02750400000,-5.60000,
-0.02750000000,-5.60000,
-0.02749600000,-5.60000,
-0.02749200000,-5.60000,
-0.02748800000,-5.60000,
-0.02748400000,-5.60000,
-0.02748000000,-5.60000,
-0.02747600000,-6.00000,
-0.02747200000,-6.00000,
-0.02746800000,-6.00000,
-0.02746400000,-6.00000,
-0.02746000000,-6.00000,
-0.02745600000,-6.40000,
-0.02745200000,-6.40000,
-0.02744800000,-6.40000,
-0.02744400000,-6.40000,
-0.02744000000,-6.40000,
-0.02743600000,-6.00000,
-0.02743200000,-6.40000,
-0.02742800000,-6.40000,
-0.02742400000,-6.40000,
-0.02742000000,-6.40000,
-0.02741600000,-6.40000,
-0.02741200000,-6.40000,
-0.02740800000,-6.40000,
-0.02740400000,-6.40000,
-0.02740000000,-6.40000,
-0.02739600000,-6.40000,
-0.02739200000,-6.40000,
-0.02738800000,-6.40000,
-0.02738400000,-6.40000,
-0.02738000000,-6.80000,
-0.02737600000,-6.40000,
-0.02737200000,-7.20000,
-0.02736800000,-6.80000,
-0.02736400000,-6.80000,
-0.02736000000,-6.80000,
-0.02735600000,-6.80000,
-0.02735200000,-7.20000,
-0.02734800000,-7.20000,
-0.02734400000,-6.80000,
-0.02734000000,-7.20000,
-0.02733600000,-7.20000,
-0.02733200000,-7.20000,
-0.02732800000,-7.20000,
-0.02732400000,-7.20000,
-0.02732000000,-7.20000,
-0.02731600000,-7.20000,
-0.02731200000,-7.20000,
-0.02730800000,-7.20000,
-0.02730400000,-7.20000,
-0.02730000000,-7.20000,
-0.02729600000,-7.20000,
-0.02729200000,-7.20000,
-0.02728800000,-7.20000,
-0.02728400000,-7.20000,
-0.02728000000,-7.20000,
-0.02727600000,-7.20000,
-0.02727200000,-7.20000,
-0.02726800000,-7.20000,
-0.02726400000,-7.60000,
-0.02726000000,-7.60000,
-0.02725600000,-7.20000,
-0.02725200000,-7.60000,
